SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5242.3,5263.6,5170,5172.6,5172.6,5241.6,1238,8070,42073370,
500003,"AEGIS LOGISTICS LTD.",A,STK,757.8,769.9,749.55,763.45,764,760.25,496,8810,6686400,
500008,"Amara Raja Energy & Mobility L",A,STK,945.6,953,941.9,951.45,951.45,945.5,2587,26783,25396817,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,29.3,29.3,28.26,28.4,28.4,28.96,340,71893,2058930,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,49.9,50.6,49.6,50.13,50.13,49.93,289,26259,1319249,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.54,3.54,3.5,3.54,3.54,3.48,20,10434,36733,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.9,5.24,4.9,5.2,5.21,5.08,83,14283,72946,
500016,"ARUNA HOTELS LTD.",X,STK,9,9,8.71,8.97,8.98,8.73,44,15527,138937,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,145.15,146.05,143.4,143.95,144,145.2,284,11322,1633011,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,327.7,328,325.1,326,326,329.2,33,878,286824,
500027,"ATUL LTD.",A,STK,5892,5924,5856.45,5871.9,5871.9,5918.05,140,308,1810619,
500028,"ATV PROJECTS INDIA LTD.",X,STK,37.99,37.99,36.35,36.52,36.51,37.22,119,18595,685472,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,484.5,485.3,478.5,481.7,481.7,484.5,2033,16600,7984383,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,20.9,20.98,20.5,20.55,20.59,20.93,977,164658,3399679,
500033,"FORCE MOTORS LTD.",A,STK,17214.85,17928,17171.7,17805,17799,17235.7,1887,5876,104163500,
500034,"BAJAJ FINANCE LIMITED",A,STK,1035.2,1043.45,1030.8,1037.65,1037.65,1033.7,3317,130633,135421569,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,449,449.9,446.7,447.6,448,449.05,205,3721,1665926,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,682.95,688.9,676,678.75,676.15,683.1,751,15644,10675802,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1749.95,1790.9,1743.05,1772.5,1772.5,1745.4,437,4146,7320159,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3599,3718,3588.05,3588.05,3588.05,3587.9,5,13,47003,
500042,"BASF INDIA LTD.",A,STK,4198.45,4198.45,4145.9,4159.5,4159.5,4181.05,350,73685,307469422,
500043,"BATA INDIA LTD.",A,STK,1001,1002.25,996.05,999.5,999.5,1001.25,935,6251,6244189,
500048,"BEML LTD.",A,STK,1840.35,1851.15,1811.1,1828.7,1828.8,1845.35,1897,14018,25722848,
500049,"BHARAT ELECTRONICS LTD.",A,STK,413.7,415.2,408.5,411.55,411.55,413.05,7773,360087,148236925,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,92,92.45,91.5,91.97,91.75,92.18,302,7852,722325,
500058,"BIHAR SPONGE IRON LTD.",X,STK,12.2,12.38,11.91,11.99,11.91,12.22,70,10359,125028,
500059,"BIL VYAPAR LIMITED",T,STK,8.17,8.17,8.17,8.17,8.17,8.6,59,26375,215483,
500060,"Birla Cable Limited",B,STK,147.35,149.8,145.45,146.95,146.95,148.35,69,3986,588431,
500067,"BLUE STAR LTD.",A,STK,1761.6,1768.75,1752.75,1765.5,1762.55,1757.75,885,154946,272710793,
500068,"DISA INDIA LTD.",B,STK,12508.55,12755,12500,12732.05,12755,12518.15,197,250,3154673,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,303.45,305,295,304.3,305,301.95,23,618,187614,
500074,"BPL LTD.",B,STK,61.8,62.52,61.59,62.2,62.4,61.8,103,2113,130961,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,315.45,315.45,312,312.05,312,315.1,226,1091,341553,
500083,"CENTURY EXTRUSIONS LTD.",T,STK,24.2,24.57,23.62,24.13,24.55,24.46,54,6642,159359,
500084,"CESC LTD.",A,STK,170.85,171.5,169,170.65,170.65,170.95,1457,74410,12693581,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,443.15,445.9,439.1,439.9,439.9,442.8,1826,58334,25739843,
500086,"EXIDE INDUSTRIES LTD.",A,STK,369.95,375.6,368.3,374.85,374.5,368.3,1518,56258,20995675,
500087,"CIPLA LTD.",A,STK,1530.15,1535.8,1520.05,1530.95,1529.5,1524.55,1141,19937,30498032,
500089,"DIC INDIA LTD.",B,STK,537.95,542.8,524,526.25,532,541.9,38,1517,802155,
500092,"CRISIL LTD.",A,STK,4440.6,4471.8,4388.75,4428.05,4417.15,4440.25,736,3189,14091259,
500093,"CG Power and Industrial Soluti",A,STK,678.8,678.85,668.95,674.25,674.25,678.8,5628,219402,147861137,
500096,"DABUR INDIA LTD.",A,STK,519.3,520,513.45,517.3,517.85,519,859,13720,7074628,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,310.15,310.15,308.15,308.5,308.6,310.15,43,507,156611,
500101,"ARVIND LTD.",A,STK,356,356.6,351,352.2,352.5,356,647,17040,6024619,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,290.7,293.1,290,290.65,290.65,290.9,10142,2492531,725030234,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,463.65,463.65,455.95,457.55,457.55,463.45,1866,64873,29733240,
500106,"IFCI LTD.",A,STK,51.3,51.33,50.71,50.95,51.04,51.37,1959,217970,11107716,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,38.5,38.64,37.94,38.31,38.33,38.64,351,75268,2872158,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,160,160.95,157.5,157.85,157.85,160.2,1231,126516,20126582,
