DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
16022026|940663|0000000000000090|0000000000090900|0000000000000090|0000000000090900|100.00
16022026|940667|0000000000000015|0000000000015207|0000000000000015|0000000000015207|100.00
16022026|940671|0000000000001000|0000000000991000|0000000000001000|0000000000991232|100.00
16022026|940673|0000000000000100|0000000000100000|0000000000000100|0000000000100000|100.00
16022026|940681|0000000000000569|0000000000563310|0000000000000569|0000000000568750|100.00
16022026|940691|0000000000000050|0000000000050360|0000000000000050|0000000000050360|100.00
16022026|940695|0000000000000020|0000000000020201|0000000000000020|0000000000020200|100.00
16022026|940701|0000000000000031|0000000000029809|0000000000000031|0000000000030033|100.00
16022026|940705|0000000000000118|0000000000114580|0000000000000218|0000000000214572|054.13
16022026|940707|0000000000000004|0000000000003960|0000000000000004|0000000000003960|100.00
16022026|940713|0000000000001098|0000000001105686|0000000000001098|0000000001104296|100.00
16022026|940715|0000000000000098|0000000000095577|0000000000000118|0000000000116291|083.05
16022026|940717|0000000000000100|0000000000100700|0000000000000100|0000000000100700|100.00
16022026|940727|0000000000000010|0000000000009851|0000000000000010|0000000000009850|100.00
16022026|940729|0000000000000020|0000000000020000|0000000000000020|0000000000020000|100.00
16022026|940735|0000000000000010|0000000000009000|0000000000000010|0000000000009000|100.00
16022026|940743|0000000000000050|0000000000049250|0000000000000050|0000000000049250|100.00
16022026|940745|0000000000000031|0000000000030907|0000000000000033|0000000000032350|093.94
16022026|940749|0000000000000019|0000000000018096|0000000000000019|0000000000018166|100.00
16022026|940753|0000000000000005|0000000000004925|0000000000000005|0000000000004925|100.00
16022026|940759|0000000000000238|0000000000232050|0000000000000238|0000000000232464|100.00
16022026|940767|0000000000000275|0000000000269096|0000000000000339|0000000000332174|081.12
16022026|940777|0000000000000001|0000000000000921|0000000000000001|0000000000000921|100.00
16022026|940781|0000000000000100|0000000000099000|0000000000000100|0000000000099000|100.00
16022026|940791|0000000000000052|0000000000052260|0000000000000052|0000000000052260|100.00
16022026|940795|0000000000000032|0000000000032160|0000000000000032|0000000000032160|100.00
16022026|940797|0000000000000012|0000000000012120|0000000000000012|0000000000012120|100.00
16022026|940799|0000000000000491|0000000000478730|0000000000000491|0000000000479662|100.00
16022026|940801|0000000000000065|0000000000062952|0000000000000088|0000000000084090|073.86
16022026|940803|0000000000000019|0000000000018430|0000000000000019|0000000000018430|100.00
16022026|940819|0000000000000010|0000000000009910|0000000000000010|0000000000009910|100.00
16022026|940821|0000000000000020|0000000000019400|0000000000000030|0000000000029203|066.67
16022026|940833|0000000000000070|0000000000071050|0000000000000070|0000000000070800|100.00
16022026|940835|0000000000000020|0000000000020200|0000000000000020|0000000000020200|100.00
16022026|940837|0000000000000045|0000000000045045|0000000000000045|0000000000045070|100.00
16022026|940839|0000000000000050|0000000000050100|0000000000000050|0000000000050100|100.00
16022026|940841|0000000000000100|0000000000101411|0000000000000100|0000000000101391|100.00
16022026|940843|0000000000000001|0000000000000997|0000000000000001|0000000000000996|100.00
16022026|940849|0000000000000001|0000000000001026|0000000000000001|0000000000001026|100.00
16022026|940855|0000000000000692|0000000000697536|0000000000000692|0000000000697545|100.00
16022026|940859|0000000000002301|0000000002263264|0000000000002302|0000000002265378|099.96
16022026|940861|0000000000000577|0000000000566436|0000000000000577|0000000000564979|100.00
16022026|940862|0000000000000076|0000000000074480|0000000000000076|0000000000073800|100.00
16022026|940864|0000000000000114|0000000000111903|0000000000000116|0000000000113053|098.28
16022026|940866|0000000000000010|0000000000010100|0000000000000010|0000000000010100|100.00
16022026|940868|0000000000000100|0000000000098500|0000000000000100|0000000000098500|100.00
16022026|940870|0000000000000150|0000000000148988|0000000000000181|0000000000178577|082.87
16022026|940872|0000000000000461|0000000000449245|0000000000000461|0000000000448066|100.00
16022026|940874|0000000000000127|0000000000124460|0000000000000127|0000000000123215|100.00
16022026|940878|0000000000000001|0000000000000989|0000000000000001|0000000000000989|100.00
16022026|940880|0000000000000300|0000000000297000|0000000000000300|0000000000297000|100.00
16022026|954527|0000000000003016|0000000784799392|0000000000003016|0000000784799392|100.00
16022026|961708|0000000000000100|0000000000325000|0000000000000100|0000000000324510|100.00
16022026|961732|0000000000000009|0000000000009441|0000000000000009|0000000000009441|100.00
16022026|961734|0000000000050000|0000000055316000|0000000000050000|0000000055316000|100.00
16022026|961765|0000000000001078|0000000001120042|0000000000001079|0000000001121081|099.91
16022026|961770|0000000000000116|0000000000127600|0000000000000116|0000000000127600|100.00
16022026|961779|0000000000000050|0000000000054950|0000000000000050|0000000000054950|100.00
16022026|961796|0000000000001000|0000000001090400|0000000000001000|0000000001090400|100.00
16022026|961803|0000000000000200|0000000000219400|0000000000000200|0000000000219400|100.00
16022026|961804|0000000000000306|0000000000379440|0000000000000406|0000000000502936|075.37
16022026|961816|0000000000000200|0000000000247100|0000000000000200|0000000000248250|100.00
16022026|961826|0000000000000002|0000000000002350|0000000000000002|0000000000002350|100.00
16022026|961839|0000000000000132|0000000000155364|0000000000000132|0000000000155364|100.00
16022026|961863|0000000000000021|0000000000023625|0000000000000021|0000000000023631|100.00
16022026|961877|0000000000000300|0000000000366651|0000000000000300|0000000000366651|100.00
16022026|972655|0000000000000010|0000000000434000|0000000000000010|0000000000434000|100.00
16022026|972657|0000000000000030|0000000000317250|0000000000000030|0000000000316300|100.00
16022026|973491|0000000000003051|0000000002354549|0000000000003051|0000000002354736|100.00
16022026|973881|0000000000000002|0000000002137981|0000000000000002|0000000002137980|100.00
16022026|973883|0000000000000002|0000000002157313|0000000000000002|0000000002157312|100.00
16022026|974017|0000000000000070|0000000073939250|0000000000000070|0000000073939250|100.00
16022026|974634|0000000000000020|0000000002346000|0000000000000020|0000000002352100|100.00
16022026|974635|0000000000000002|0000000000263000|0000000000000002|0000000000263000|100.00
16022026|974749|0000000000000002|0000000000225800|0000000000000002|0000000000225799|100.00
16022026|974998|0000000000000003|0000000000309000|0000000000000003|0000000000309000|100.00
16022026|974999|0000000000000025|0000000003162500|0000000000000026|0000000003284000|096.15
16022026|975010|0000000000000001|0000000000087000|0000000000000001|0000000000087000|100.00
16022026|975012|0000000000000015|0000000001501500|0000000000000015|0000000001501500|100.00
16022026|975033|0000000000000005|0000000000545000|0000000000000005|0000000000545000|100.00
16022026|975057|0000000000000001|0000000000099800|0000000000000001|0000000000099800|100.00
16022026|975059|0000000000000003|0000000000312300|0000000000000003|0000000000312300|100.00
16022026|975229|0000000000000003|0000000000247500|0000000000000003|0000000000248000|100.00
16022026|975272|0000000000000004|0000000000400716|0000000000000004|0000000000400715|100.00
16022026|975331|0000000000000001|0000000000050550|0000000000000001|0000000000050550|100.00
16022026|975335|0000000000000002|0000000000205000|0000000000000002|0000000000205000|100.00
16022026|975375|0000000000000001|0000000000089000|0000000000000001|0000000000089000|100.00
16022026|975519|0000000000000002|0000000000207512|0000000000000002|0000000000207511|100.00
16022026|975562|0000000000000002|0000000000197511|0000000000000002|0000000000197510|100.00
16022026|975640|0000000000000007|0000000000702485|0000000000000007|0000000000702485|100.00
16022026|975685|0000000000000005|0000000000498131|0000000000000005|0000000000498130|100.00
16022026|975690|0000000000000005|0000000000540000|0000000000000006|0000000000608500|083.33
16022026|975739|0000000000000001|0000000000099900|0000000000000001|0000000000099900|100.00
16022026|975741|0000000000000002|0000000000195016|0000000000000002|0000000000195016|100.00
16022026|975746|0000000000000001|0000000000099600|0000000000000001|0000000000099599|100.00
16022026|975790|0000000000000001|0000000000102749|0000000000000001|0000000000102749|100.00
16022026|975897|0000000000000003|0000000000304500|0000000000000003|0000000000304500|100.00
