DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Date
4022026,524654,406,67518,406,64224,100.0,524654,NATURAL CAPSULES LTD.,B,STK,156.6,166.3,156.6,166.3,166.3,159.0,10,406,64224,,2026-02-04
4022026,524661,883601,273917,883601,273916,100.0,524661,WELCURE DRUGS & PHARMACEUTICAL,X,STK,0.31,0.31,0.31,0.31,0.31,0.3,134,883601,273916,,2026-02-04
4022026,524663,60505,1249429,113926,2344691,53.11,524663,BHARAT IMMUNOLOGICALS & BIOLOG,B,STK,19.49,21.88,19.3,20.65,20.65,19.49,440,113926,2344691,,2026-02-04
4022026,524667,442,157772,561,200733,78.79,524667,SAVITA OIL TECHNOLOGIES LTD.,B,STK,384.6,423.7,353.0,356.95,356.55,353.1,45,561,200733,,2026-02-04
4022026,524669,42,64179,56,85520,75.0,524669,HESTER BIOSCIENCES LTD.,B,STK,1522.0,1539.0,1520.1,1528.05,1520.1,1505.2,32,56,85520,,2026-02-04
4022026,524675,30316,496577,53459,904091,56.71,524675,KABSONS INDUSTRIES LTD.,X,STK,18.0,18.0,16.0,16.38,16.0,16.53,296,53459,904091,,2026-02-04
4022026,524687,49703,507468,71239,712733,69.77,524687,BASANT AGRO TECH (INDIA) LTD.,X,STK,10.75,10.75,9.27,10.21,10.2,10.3,273,71239,712733,,2026-02-04
4022026,524703,1604,54376,1912,65374,83.89,524703,SANDU PHARMACEUTICALS LTD.,X,STK,34.5,34.95,33.9,33.9,33.9,34.0,27,1912,65374,,2026-02-04
4022026,524709,18409,2532158,24527,3314692,75.06,524709,NACL Industries Limited,B,STK,131.05,137.6,127.6,137.55,137.55,131.05,653,24527,3314692,,2026-02-04
4022026,524711,8717,67557,10971,87457,79.45,524711,VISTA PHARMACEUTICALS LTD.,X,STK,8.34,8.5,7.53,7.75,7.75,8.18,76,10971,87457,,2026-02-04
4022026,524715,628915,1071671160,695926,1185837677,90.37,524715,SUN PHARMACEUTICAL INDUSTRIES,A,STK,1705.9,1729.0,1697.0,1704.0,1704.0,1702.8,15880,695926,1185837677,,2026-02-04
4022026,524717,3969,4003928,6085,6203644,65.23,524717,TITAN BIOTECH LTD.,X,STK,1063.0,1063.0,991.0,1008.8,1008.8,1034.2,485,6085,6203644,,2026-02-04
4022026,524731,4269,4512120,6707,6994180,63.65,524731,JENBURKT PHARMACEUTICALS LTD.,X,STK,1056.3,1099.95,1011.1,1056.95,1078.0,1104.45,487,6707,6994180,,2026-02-04
4022026,524735,2683,526405,5099,997626,52.62,524735,HIKAL LTD.,B,STK,194.6,197.95,194.4,196.2,197.95,195.65,156,5099,997626,,2026-02-04
4022026,524742,1298,2478726,2681,5074504,48.41,524742,CAPLIN POINT LABORATORIES LTD.,A,STK,1869.95,1915.0,1856.85,1909.65,1904.75,1862.0,316,2681,5074504,,2026-02-04
4022026,524743,159610,6440264,233421,9358380,68.38,524743,FISCHER MEDICAL VENTURES LIMIT,B,STK,38.43,40.35,38.43,40.35,40.35,38.43,314,233421,9358380,,2026-02-04
4022026,524748,542,15621,556,15688,97.48,524748,LINK PHARMA CHEM LTD.,X,STK,29.55,29.55,28.15,28.82,29.47,29.68,19,556,15688,,2026-02-04
4022026,524752,3652,31919,3652,29781,100.0,524752,DECIPHER LABS LIMITED,X,STK,8.12,8.84,8.12,8.74,8.74,8.1,18,3652,29781,,2026-02-04
4022026,524768,2492,69353,2614,71407,95.33,524768,EMMESSAR BIOTECH & NUTRITION L,X,STK,26.01,28.85,25.25,27.83,28.57,26.62,26,2614,71407,,2026-02-04
4022026,524774,3839,8400692,4060,8830654,94.56,524774,NGL FINE-CHEM LTD.,B,STK,1920.0,2188.25,1920.0,2188.25,2188.25,1823.55,271,4060,8830654,,2026-02-04
4022026,524790,230,95462,306,128951,75.16,524790,EVEREST ORGANICS LTD.,X,STK,434.0,434.0,413.05,415.05,415.05,416.0,19,306,128951,,2026-02-04
